11	18	33	14	48	16	40
8	30	39	46	26	3	12
45	17	7	13	39	15	47
44	12	2	21	28	26	38
31	12	5	24	29	4	32
23	34	2	12	38	10	5
27	3	25	36	6	11	44
29	1	8	26	6	28	4
38	27	17	6	16	18	44
48	32	23	1	3	24	27
24	46	16	41	10	11	5
44	22	43	3	47	32	29
28	42	46	14	43	36	29
28	22	41	18	37	25	33
37	49	23	26	39	38	28
25	46	34	7	19	31	20
49	21	7	5	30	17	37
1	22	29	48	13	36	10
30	34	8	43	40	47	32
46	10	17	33	32	9	20
29	24	32	3	1	37	25
11	24	26	21	8	37	18
21	32	4	46	16	20	37
30	15	14	23	21	29	36
1	27	12	49	44	36	29
42	39	41	32	48	11	24
6	35	33	47	28	4	15
7	15	14	18	48	39	46
4	12	22	30	31	40	41
47	48	23	10	14	20	30
49	18	42	40	15	29	1
18	29	36	34	48	35	44
13	40	27	16	26	41	48
8	35	12	28	16	43	40
48	1	28	7	12	4	25
39	36	29	21	28	27	10
7	8	25	12	37	14	1
33	14	5	17	3	35	18
24	15	38	18	21	11	36
12	8	30	49	15	14	22
2	19	30	34	24	35	45
46	32	47	27	24	23	44
37	25	40	23	6	38	30
30	46	7	24	18	48	26
40	36	28	25	33	27	9
37	40	11	10	35	5	31
41	47	49	19	12	45	42
46	9	16	18	2	32	21
38	10	32	45	36	18	8
22	35	21	37	16	18	40
15	31	38	48	33	5	16
41	28	26	2	11	7	45
26	22	4	43	34	17	31
35	47	28	10	17	22	46
32	29	7	44	49	37	34
7	40	23	49	1	5	14
16	45	22	17	30	33	2
3	9	11	28	42	19	23
14	9	44	15	43	4	25
21	37	47	23	34	22	16
38	21	31	29	48	44	9
38	15	32	34	19	24	10
12	7	48	44	37	20	40
42	34	41	43	36	28	35
26	14	32	43	40	10	28
39	11	16	1	10	4	34
5	16	22	13	19	20	32
34	16	1	2	17	3	48
36	44	47	45	41	5	22
27	43	34	36	13	26	41
5	26	43	48	31	6	21
40	35	46	25	13	20	43
26	1	18	41	44	38	23
35	34	19	30	38	17	12
17	22	45	31	26	1	32
37	36	35	10	29	28	16
48	23	6	14	36	37	19
14	34	6	2	15	27	11
14	22	16	31	40	41	12
27	38	16	6	18	44	24
27	20	8	9	29	38	5
13	19	1	31	46	45	35
24	8	42	46	31	7	20
45	31	44	8	14	11	10
37	26	17	13	27	46	44
49	40	17	20	42	2	5
9	25	29	44	10	35	18
13	32	21	5	22	31	3
11	48	15	42	43	25	20
30	39	34	48	1	9	11
2	17	3	49	38	23	27
21	45	38	40	35	34	41
49	37	25	22	45	10	18
24	14	36	19	23	49	3
12	3	8	9	10	6	15
48	31	13	37	35	7	28
25	49	23	29	14	24	5
11	42	16	25	46	32	9
49	21	44	39	32	31	6
3	44	6	5	47	21	16
19	44	40	35	12	36	34
25	5	35	15	14	2	32
6	32	48	31	37	25	3
5	35	16	17	7	32	29
1	38	17	48	14	31	37
27	2	17	13	7	32	3
17	36	23	28	43	16	33
14	44	38	31	5	28	20
9	27	21	17	11	13	24
1	35	15	19	5	3	47
28	26	32	11	40	45	48
42	36	15	35	48	10	22
1	33	48	42	31	39	17
45	1	48	14	3	7	41
46	41	20	3	23	45	38
1	14	43	49	27	47	28
24	4	21	45	38	13	46
18	26	27	44	48	11	30
34	25	47	14	46	36	27
8	35	11	10	34	37	49
43	1	11	48	29	44	41
4	41	29	7	11	20	22
25	18	14	45	38	9	23
34	32	7	23	20	45	39
44	31	13	26	2	4	36
40	19	11	39	45	29	16
21	13	49	26	28	24	1
27	48	46	45	44	25	42
16	34	30	7	31	26	12
17	20	47	43	15	48	4
2	38	21	41	5	11	32
48	26	27	29	6	5	4
16	1	23	8	15	37	38
23	44	33	1	22	21	26
40	49	44	32	41	37	48
37	49	5	31	3	34	41
26	31	19	32	45	8	40
19	35	37	20	9	11	5
41	33	49	44	35	7	48
27	32	47	5	1	28	14
8	22	27	21	38	49	30
44	30	47	39	37	21	8
20	46	28	38	29	25	43
44	23	1	25	18	24	3
3	45	41	34	25	26	36
26	23	2	19	31	49	44
43	45	7	25	49	14	41
41	29	23	26	31	33	4
18	40	7	2	17	9	45
33	27	26	44	38	48	23
38	36	12	8	17	28	4
10	12	42	32	1	40	15
4	34	30	22	33	13	29
47	45	9	18	26	28	3
7	42	30	48	16	3	37
9	21	1	37	11	35	22
38	37	43	42	5	30	28
31	17	16	43	44	24	12
48	11	31	21	42	14	23
28	42	38	25	15	27	33
47	1	29	26	27	16	2
20	32	30	41	23	46	40
42	12	2	9	38	28	1
11	36	34	32	45	28	44
48	38	23	5	4	41	22
9	30	49	31	45	41	11
3	10	25	35	6	37	39
30	2	5	9	1	43	48
42	19	21	26	2	22	11
19	46	9	25	34	35	38
13	44	37	4	39	7	20
49	7	27	47	45	23	17
4	6	25	10	38	49	20
6	10	44	38	1	39	15
46	47	29	22	23	40	43
2	36	42	28	3	33	27
10	19	44	6	49	1	14
46	11	13	35	5	43	42
4	10	48	41	47	33	22
47	6	12	35	27	21	39
4	30	28	36	39	13	17
26	42	44	10	3	41	39
3	30	16	21	14	9	32
31	18	23	34	20	39	26
17	6	42	26	45	1	25
10	42	15	5	49	24	17
15	30	10	31	47	5	2
8	30	10	33	4	14	12
24	36	42	20	28	44	13
2	11	37	43	40	24	1
40	10	3	9	46	23	24
1	3	26	35	30	9	29
44	27	13	23	34	26	38
